"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
03052,631,684,157,110,831,217,969,105,241
03053,1043,1147,291,187,1339,373,1533,188,469
03054,859,909,199,144,1043,382,1390,104,274
03055,790,818,140,131,993,344,1270,101,237
03056,404,488,96,64,486,246,730,29,133
03057,707,811,147,123,849,399,1316,60,142
03058,714,889,201,122,929,351,1392,74,137
03059,600,653,153,98,696,306,1012,62,179
03060,705,701,150,119,803,334,1236,43,127
03061,567,589,109,87,651,309,925,38,193
03062,755,863,185,138,919,376,1380,76,162
03063,901,969,327,156,1112,275,1493,86,291
03064,582,673,154,126,740,235,1088,44,123
03065,662,721,111,118,889,265,1260,23,100
03066,1106,1217,292,221,1362,448,1964,70,289
03067,841,923,189,147,995,433,1479,45,240
03068,552,621,119,79,636,339,1004,34,135
03069,586,622,143,87,683,295,1023,27,158
03070,620,665,124,115,742,304,1058,53,174
03071,615,679,158,118,747,271,1028,57,209
03072,652,741,134,131,828,300,1085,39,269
03073,773,842,177,122,980,336,1355,63,197
03074,853,947,210,133,1037,420,1481,75,244
03075,820,905,210,149,1017,349,1384,52,289
03076,488,573,106,85,592,278,877,36,148
03077,596,717,143,113,741,316,1067,73,173
03078,819,901,218,133,1058,311,1335,85,300
03079,878,958,222,173,1102,339,1346,87,403
03080,715,880,164,147,912,372,1312,50,233
03081,841,976,186,169,1021,441,1484,52,281
03082,909,1039,220,181,1135,412,1574,86,288
03083,640,755,120,108,838,329,1157,59,179
03084,665,790,160,126,744,425,1246,48,161
03085,615,703,142,93,791,292,1087,53,178
03086,594,633,104,99,647,377,1113,46,68
03087,677,800,178,125,755,419,1291,40,146
03088,630,730,158,96,750,356,1158,63,139
03089,581,691,130,94,689,359,1118,55,99
03090,484,551,103,111,581,240,924,44,67
03091,714,769,171,151,906,255,1212,71,200
03092,593,641,146,106,744,238,1011,79,144
03093,711,806,141,157,876,343,1346,41,130
03094,550,640,138,81,680,291,1044,57,89
03095,763,878,182,147,965,347,1329,93,219
03096,758,832,191,162,993,244,1179,97,314
03097,791,862,191,134,1100,228,1130,136,387
03098,662,740,169,142,865,226,1066,81,255
03099,463,521,127,76,607,174,796,55,133
03100,594,705,159,102,749,289,1035,82,182
03101,1714,1346,340,341,1974,405,1578,214,1268
03102,652,706,165,119,800,274,1065,64,229
03103,553,641,129,69,623,373,1064,37,93
03104,672,763,172,117,889,257,1115,95,225
03105,512,644,132,98,705,221,913,67,176
03106,587,684,153,93,823,202,977,107,187
03107,799,807,180,107,975,344,1298,74,234
03108,763,844,194,112,989,312,1226,108,273
03109,719,827,184,122,964,276,1243,120,183
03110,721,824,177,121,899,348,1243,88,214
03111,603,695,178,78,781,261,1087,77,134
03112,875,1023,208,174,1113,403,1615,85,198
03113,796,876,166,181,870,455,1346,93,233
03114,688,803,138,147,810,396,1285,75,131
03211,748,770,175,214,916,213,1331,14,173
03212,1159,1301,291,229,1269,671,1977,79,404
03213,1165,1268,297,312,1440,384,1816,66,551
04001,617,686,141,132,777,253,1008,77,218
04002,934,1054,268,175,1073,472,1761,66,161
04003,528,552,119,84,611,266,946,31,103
04004,459,542,109,63,586,243,849,48,104
04005,561,658,145,89,649,336,1110,33,76
04006,526,629,130,105,596,324,1016,39,100
04007,480,595,110,85,548,332,916,52,107
04008,479,548,115,87,579,246,844,33,150
04009,665,797,150,121,872,319,1229,63,170
04010,418,496,104,108,482,220,805,25,84
04011,840,927,244,139,863,521,1547,60,160
04012,666,780,135,131,792,388,1293,45,108
04013,587,688,142,102,697,334,1149,39,87
04014,399,467,96,80,438,252,751,36,79
04015,848,1063,203,170,1103,435,1711,55,145
04016,499,590,118,74,595,302,975,37,77
04017,561,650,144,68,639,360,1068,47,96
04018,710,872,193,160,813,416,1373,77,132
04019,640,725,163,146,702,354,1183,69,113
04020,681,774,211,125,746,373,1276,70,109
04021,610,716,152,140,692,342,1138,70,118
04022,778,842,168,147,913,392,1302,96,222
04023,507,571,157,120,510,291,933,40,105
04024,493,568,172,110,494,285,992,22,47
04025,535,633,166,89,653,260,1049,47,72
04026,552,683,153,84,650,348,1094,60,81
04027,613,710,165,133,739,286,1074,84,165
04028,611,717,154,99,673,402,1153,67,108
04029,535,628,139,87,590,347,1056,31,76
04030,834,998,265,130,871,566,1635,70,127
04031,927,929,220,159,1084,393,1441,109,306
04032,683,861,164,122,858,400,1387,39,118
04033,537,620,153,79,625,300,1023,39,95
04034,721,770,154,133,707,497,1382,39,70
04035,640,756,175,87,728,406,1275,40,81
04036,789,942,255,132,884,460,1472,75,184
04037,975,1186,239,183,1149,590,1857,61,243
04038,600,694,123,102,701,368,1155,32,107
04039,574,652,170,98,710,248,1049,47,130
04040,788,835,225,154,950,294,1293,60,270
04041,651,718,153,107,796,313,1093,52,224
04042,807,932,143,125,973,498,1477,56,206
04043,728,907,178,123,806,528,1521,39,75
04044,731,860,167,133,892,399,1399,44,148
04045,642,736,178,112,703,385,1193,56,129
04046,1194,1267,297,209,1213,742,2250,87,124
